code,beta,se,pval,abs_40_M,abs_40_F,abs_50_M,abs_50_F,abs_60_M,abs_60_F,abs_40_MD,abs_40_FD,abs_50_MD,abs_50_FD,abs_60_MD,abs_60_FD,abs_40_MU,abs_40_FU,abs_50_MU,abs_50_FU,abs_60_MU,abs_60_FU,RR
G90,2.88112020770197,0.250259609407638,<2e-16,18.4% [9.8%-26.1%],10.8% [5.6%-15.6%],38.4% [21.9%-51.4%],23.8% [12.9%-33.3%],68.5% [44.5%-82.2%],47.7% [28.1%-62%],0.0980037491415341,0.0561312420437449,0.218703348427918,0.129081424316164,0.44496578596738,0.280817155683609,0.261244606796011,0.156196822527421,0.514240505115778,0.333034258016073,0.821579464060292,0.619729663138516,17.83 [10.92-29.13]
G91,2.75952884340131,0.242810496051908,<2e-16,16.4% [9%-23.3%],9.6% [5.1%-13.8%],34.9% [20.1%-46.9%],21.4% [11.8%-29.9%],64.1% [41.5%-78%],43.7% [25.9%-57.2%],0.0896721086839467,0.0512594478995864,0.201318671250573,0.11828450701591,0.415038439035122,0.259360425099618,0.233171952970212,0.138310513782542,0.469156229106139,0.298895187174444,0.779585325917729,0.571724023390297,15.79 [9.81-25.42]
G93,3.82453775642497,0.0963257625477938,<2e-16,40.4% [34.2%-46%],25.2% [20.9%-29.2%],71% [63.3%-77%],50% [42.9%-56.1%],94.8% [90.8%-97%],80.9% [73.8%-86.1%],0.341965161506055,0.208831751530341,0.633123103427371,0.429434953183314,0.908428464498504,0.737503676804333,0.460122316445989,0.292079214569165,0.770178626078928,0.561386148735541,0.97039063308067,0.860950272774733,45.81 [37.93-55.33]
G95,2.65961895092841,0.154689824688102,<2e-16,15% [10.7%-19.1%],8.7% [6.1%-11.2%],32.1% [23.7%-39.6%],19.5% [14%-24.7%],60.3% [47.4%-70%],40.5% [30.3%-49.2%],0.106721785053239,0.0612932739181612,0.236578882855453,0.140384413932561,0.474474159690746,0.302646873463555,0.190968416555721,0.112183171032775,0.39645443286658,0.24688778929672,0.700436139330925,0.491836409806475,14.29 [10.55-19.35]
G99,4.52298849392049,0.21361886139775,<2e-16,65% [45.5%-77.5%],44.4% [28.9%-56.6%],91.8% [76.6%-97.1%],75.4% [55.7%-86.3%],99.7% [96.9%-100%],96.5% [85.6%-99.1%],0.455431114325817,0.288513489045771,0.766305721664786,0.556966724864361,0.96877004821656,0.856431679919277,0.774553148940568,0.566119491370868,0.971273067066153,0.863291445998755,0.999790424415867,0.99133402420097,92.11 [60.6-140.01]
H02,0.343942453788832,0.120002342064453,0.004,1.6% [1.2%-2%],<1%,3.8% [2.9%-4.6%],2.1% [1.6%-2.6%],8.7% [6.7%-10.7%],5% [3.8%-6.1%],0.0121569141930218,0.006825920032275,0.0288616285095933,0.0162629141046831,0.0674428383483202,0.0383319341751552,0.0196748947170363,0.0110776214317482,0.0462261258901208,0.0261860168592332,0.106869732497184,0.0614073022057511,1.41 [1.11-1.78]
H04,0.0892373522531425,0.223883014847057,0.690,1.2% [0.7%-1.8%],<1%,2.9% [1.7%-4.2%],1.7% [0.9%-2.4%],6.9% [3.9%-9.7%],3.9% [2.2%-5.6%],0.00694105409449775,0.00389508441719078,0.0165367147778925,0.0092983681056219,0.0390148335990927,0.0220455604619233,0.017772979541181,0.00999389472663847,0.0418863843888265,0.0236823801264827,0.097169870760298,0.0556513869571994,1.09 [0.7-1.7]
H25,0.449291233415096,0.0774210513191271,7e-09,1.8% [1.5%-2%],<1%,4.2% [3.5%-4.8%],2.3% [2%-2.7%],9.6% [8.2%-11%],5.5% [4.7%-6.3%],0.0149450755159781,0.00838996939344949,0.03536047520646,0.0199368187205224,0.0820085423688715,0.0467257484798621,0.0204560749510042,0.011504805432774,0.0477814590851113,0.0270446023615269,0.10995469895784,0.0631577119401447,1.57 [1.35-1.82]
H26,0.334983941822761,0.0620275735893582,7e-08,1.6% [1.4%-1.8%],<1%,3.7% [3.3%-4.2%],2.1% [1.8%-2.4%],8.6% [7.6%-9.6%],4.9% [4.3%-5.5%],0.0137974852254997,0.0077427762572847,0.0326721585459234,0.0184063975283066,0.0758331384900979,0.0431345408594141,0.0178117615081004,0.0100144666196443,0.0415980417391008,0.0235196686533591,0.0960639710111356,0.0550177145486709,1.4 [1.24-1.58]
H33,-0.447137136032854,0.235935580911037,0.058,<1%,<1%,1.7% [0.9%-2.5%],<1%,4.1% [2.2%-5.9%],2.3% [1.2%-3.4%],0.00390104647080036,0.00218463318872264,0.00931280868165751,0.00522084376323562,0.0220808020736035,0.012412337338485,0.0106054001167629,0.00595642517678086,0.025133645636217,0.0141625441851621,0.0590267638012155,0.0335193394280877,0.64 [0.4-1.02]
H35,0.369649165637317,0.167043537767405,0.027,1.6% [1.1%-2.2%],<1%,3.9% [2.6%-5.1%],2.2% [1.5%-2.9%],9% [6.1%-11.7%],5.1% [3.5%-6.7%],0.0109843709134554,0.00616694814415342,0.0260975866586964,0.014699214981304,0.0611436602790428,0.0347090159365145,0.0216702689838584,0.012202192342318,0.0508788312236632,0.0288409374138301,0.117222338003276,0.0674950464926533,1.45 [1.04-2.01]
H40,0.19116471066564,0.182902009802814,0.296,1.4% [0.9%-1.9%],<1%,3.2% [2.1%-4.4%],1.8% [1.2%-2.5%],7.6% [4.9%-10.1%],4.3% [2.8%-5.8%],0.00877677439461588,0.00492493781347447,0.0208867857615713,0.0117501879433969,0.049125683371389,0.0278093564243925,0.0185749563923353,0.0104535063032883,0.0437354857165994,0.0247546098112689,0.101324312006424,0.0581266047414322,1.21 [0.85-1.73]
H53,1.38674381109804,0.189281159301054,2e-13,4.4% [2.8%-6.1%],2.5% [1.6%-3.4%],10.3% [6.6%-13.8%],5.9% [3.8%-8%],22.8% [15%-29.9%],13.5% [8.7%-18.1%],0.0281576797842398,0.0158704281720053,0.0660560217211458,0.0375487238699069,0.150389349805227,0.0872190565709474,0.0605661679923066,0.0344299581284649,0.138425056847799,0.0801628712949608,0.299417775440693,0.180923266203555,4 [2.76-5.8]
H61,0.399410479417904,0.288888117185024,0.167,1.7% [0.7%-2.6%],<1%,4% [1.7%-6.2%],2.2% [1%-3.5%],9.2% [4.1%-14.1%],5.3% [2.3%-8.2%],0.00731660104370924,0.00410294797906985,0.0174279394058161,0.009793775931905,0.0410940117557198,0.0232133280367685,0.0262519317507016,0.0148013186033346,0.0615171749118346,0.0349647584204925,0.140719316714223,0.0815044221701993,1.49 [0.85-2.63]
H65,0.637826224603526,0.267463532027688,0.017,2.1% [1%-3.2%],1.2% [0.6%-1.8%],5% [2.4%-7.5%],2.8% [1.4%-4.3%],11.6% [5.7%-17.1%],6.7% [3.2%-10%],0.0101723641570528,0.00570927179892144,0.0241728407381236,0.0136076892797823,0.0567114393015784,0.0321570833290324,0.0323183299301297,0.0182455091480849,0.07541579226833,0.0430003616491375,0.170830278885734,0.0996842327191864,1.89 [1.12-3.2]
H83,0.693499792616602,0.288862703588881,0.016,2.3% [1%-3.5%],1.3% [0.6%-2%],5.3% [2.3%-8.2%],3% [1.3%-4.7%],12.2% [5.5%-18.4%],7% [3.1%-10.8%],0.00980850916322251,0.00550517675873352,0.0233135570391741,0.0131227567483001,0.0547245211395552,0.0310192944957592,0.0350577039618577,0.0198010510853114,0.0816628917576161,0.0466225990315194,0.184162401652754,0.107810299975225,2 [1.14-3.52]
I08,1.81745221413498,0.192810946527541,<2e-16,6.8% [4.3%-9.2%],3.9% [2.4%-5.3%],15.4% [9.9%-20.6%],8.9% [5.7%-12.1%],32.9% [22%-42.3%],20% [13%-26.5%],0.0425319566282836,0.0240516241061408,0.0987400222670949,0.0565627303292566,0.219533568777691,0.129598626085046,0.0921720356136283,0.0527911604623154,0.205739687933699,0.121201734104558,0.422757830384263,0.265253681082643,6.16 [4.22-8.98]
I10,0.616233792968356,0.258420992674142,0.017,2.1% [1%-3.1%],1.2% [0.6%-1.8%],4.9% [2.5%-7.3%],2.8% [1.4%-4.2%],11.3% [5.8%-16.6%],6.5% [3.3%-9.7%],0.0103234045538475,0.00579552962795526,0.0245299939965857,0.0138129189767332,0.0575372465424702,0.032638737636586,0.0312843000840521,0.0176525459402923,0.0730487187497288,0.0416160104787794,0.165740948843479,0.096564411718098,1.85 [1.12-3.07]
I12,2.32739667031735,0.144716491871725,<2e-16,11% [8%-13.9%],6.3% [4.6%-8.1%],24.3% [18%-30%],14.4% [10.6%-18.1%],48.4% [37.7%-57.3%],31% [23.3%-38%],0.0798487454917773,0.0455665018186989,0.180426344496509,0.105500068993991,0.377461189885703,0.233199017937682,0.139109204128109,0.0806523553345028,0.299895527347576,0.18141096013764,0.572750154508169,0.379664974075653,10.25 [7.72-13.61]
I20,0.786243835202148,0.0818462904937863,<2e-16,2.5% [2.1%-2.9%],1.4% [1.2%-1.6%],5.8% [4.9%-6.6%],3.3% [2.8%-3.8%],13.2% [11.2%-15.1%],7.6% [6.4%-8.8%],0.0206042263123417,0.0116142453097982,0.0485516764619065,0.0275331351128562,0.111576710733587,0.0641982732610672,0.028567685671554,0.0161891501786982,0.0664784637838337,0.0380055142331039,0.15120639018254,0.0882165520371526,2.2 [1.87-2.58]
I21,1.43874456133759,0.0597059246637303,<2e-16,4.6% [4.1%-5.2%],2.7% [2.3%-3%],10.6% [9.4%-11.8%],6.2% [5.5%-6.9%],23.3% [20.9%-25.7%],14% [12.4%-15.6%],0.0406921631941892,0.0233297939656036,0.0942084658721174,0.0546503056058157,0.208589562705695,0.12439753007808,0.0516392225478344,0.0298817151185254,0.117582948254597,0.069097453701336,0.256837797536164,0.156283408022835,4.22 [3.75-4.74]
I22,1.68345580309409,0.147904545718698,<2e-16,5.9% [4.2%-7.6%],3.4% [2.4%-4.3%],13.6% [9.8%-17.1%],7.9% [5.6%-10%],29.4% [21.9%-36.1%],17.8% [12.9%-22.3%],0.0423726595819885,0.0240053218933948,0.0983801680246761,0.0564535212622672,0.218698491086431,0.129299020557975,0.0759084577797596,0.0434898667883741,0.171371383393835,0.100475167960849,0.361443653053969,0.223284486311377,5.38 [4.03-7.19]
