code,prevelence,h2_observed,h2_observed_se,h2_liability,h2_liability_se,h2_z,h2_p
H57,0.000361804,0.00144667,0.002197077,0.301864711,0.45844592,0.65845217,0.255123811
H59,0.000177936,-0.002735046,0.002298909,-1.054138583,0.88604309,-1.189714806,0.882920748
H60,0.000643537,0.000143835,0.002218825,0.018367568,0.283341342,0.064824877,0.474156717
H61,0.00109134,-0.00089976,0.001912741,-0.073699886,0.156673748,-0.470403539,0.680966632
H65,0.00170522,0.002067591,0.002217854,0.117007862,0.12551145,0.932248509,0.175604056
H66,0.00103796,-0.000821494,0.002088597,-0.070166654,0.178394418,-0.393323148,0.652959588
H69,0.000240214,-0.002413322,0.00222952,-0.716801615,0.662208924,-1.082440283,0.860471532
H71,0.000690987,0.003801167,0.002179201,0.457053908,0.262028055,1.744293784,0.040553938
H72,0.00143535,0.002593925,0.002210541,0.169210384,0.144201002,1.173434181,0.120310868
H73,0.000373667,0.00044284,0.001924031,0.089881059,0.390510735,0.230162838,0.408982619
H74,0.000539741,-1.82e-05,0.002239849,-0.002691308,0.332069778,-0.008104645,0.50323325
H80,0.000471532,0.002991271,0.002250714,0.497562797,0.374379777,1.329032247,0.091918666
H81,0.000596087,0.001445684,0.002247532,0.196994046,0.306256597,0.643232009,0.260036783
H83,0.000975685,0.002269379,0.002200888,0.204131207,0.197970408,1.031119799,0.151242322
H90,0.000498222,-0.000931115,0.002223167,-0.147776861,0.352837893,-0.41882367,0.662327498
H91,0.000785886,0.002513621,0.002471011,0.271140759,0.266544531,1.01724375,0.154518744
H92,0.00058719,0.002009482,0.002285701,0.277335458,0.315457331,0.879153631,0.189658991
H93,0.000266905,-0.000348093,0.002111562,-0.094386502,0.572556079,-0.164851105,0.565469411
I05,0.000216489,-0.000927362,0.002191839,-0.301417056,0.712405103,-0.423097835,0.663888059
I08,0.00036477,-0.001511359,0.002369094,-0.313160924,0.490887914,-0.637947922,0.738246209
I10,0.0014828,0.004269022,0.00203251,0.271093894,0.129069633,2.100369289,0.017848184
